中国电信-广东-酒店,#genre#
山东卫视,http://106.111.244.182:60001/tsfile/live/0131_1.m3u8
CCTV1,http://106.111.244.182:60001/tsfile/live/0001_1.m3u8
CCTV2,http://106.111.244.182:60001/tsfile/live/0002_1.m3u8
CCTV3,http://106.111.244.182:60001/tsfile/live/0003_1.m3u8
CCTV6,http://106.111.244.182:60001/tsfile/live/0006_1.m3u8
CCTV7,http://106.111.244.182:60001/tsfile/live/0007_1.m3u8
CCTV8,http://106.111.244.182:60001/tsfile/live/0008_1.m3u8
CCTV9,http://106.111.244.182:60001/tsfile/live/0009_1.m3u8
CCTV10,http://106.111.244.182:60001/tsfile/live/0010_1.m3u8
CCTV11,http://106.111.244.182:60001/tsfile/live/0011_1.m3u8
CCTV12,http://106.111.244.182:60001/tsfile/live/0012_1.m3u8
CCTV13,http://106.111.244.182:60001/tsfile/live/0013_1.m3u8
CCTV14,http://106.111.244.182:60001/tsfile/live/0014_1.m3u8
CCTV15,http://106.111.244.182:60001/tsfile/live/0015_1.m3u8
